,Image_ID,DL_Separation_Measure,DL_Concentration_Measure,Non_DL_Separation_Measure,Non_DL_Concentration_Measure
0,0.0,0.9999969383377585,0.9425374549592263,0.9434601844881791,0.2566879158070423
1,1.0,0.9999999985045858,0.9796299657296593,0.960161909172635,0.33854503886274945
2,2.0,0.9999954224407712,0.7522650056625142,0.9529511218402874,0.3007937680374397
3,3.0,1.0,1.0,0.9543760930146951,0.29542587288597927
4,4.0,0.9999999999978739,1.0,0.9605811908611107,0.1717419707874342
5,5.0,0.9999277424064213,0.8341145833333333,0.9488056080263254,0.17582365366868313
6,6.0,0.9999999999200218,0.9999471542567246,0.9497795554303313,0.09881471013830065
7,7.0,0.9999668572861645,0.9589978342193345,0.9651019058769829,0.15735009315446727
8,8.0,0.9999999232476654,1.0,0.9497527716113816,0.17051696737634708
9,9.0,0.9999999999999993,1.0,0.9432316042009841,0.444221799717394
10,10.0,0.9999953685197626,0.9954317991032791,0.968329943865091,0.9497436773752563
11,11.0,0.9999999735555061,0.9994766390712723,0.968957144785197,0.5489071327095549
12,12.0,0.9999999999999662,0.8306262993762994,0.952579784537639,0.08945760224319439
13,13.0,0.9999999987823656,1.0,0.9586040040462067,0.13612599737001652
14,14.0,0.9999999998238005,1.0,0.9642561617111902,0.4786245192888061
15,15.0,0.9999999999999989,0.9993903925871739,0.9669447967945441,0.22544045102184637
16,16.0,0.9999999979742393,0.9997492477432297,0.9414653747754445,0.2841857790784273
17,17.0,0.9999999389363305,0.9999174099768748,0.9686946186394293,0.19265520159290142
18,18.0,0.9999999368782055,1.0,0.9580387635597883,0.16521127860657658
19,19.0,0.9999999999999472,1.0,0.9456067235498623,0.18495341931939263
20,20.0,0.999999999999998,1.0,0.9504800208469557,0.04319834117646926
21,21.0,0.9999925103445724,0.9915724107340874,0.951461393930017,0.03919159040880314
22,22.0,0.9999999999999831,1.0,0.9487501594938049,0.2758925050500173
23,23.0,0.9999982007592344,0.9101822389354932,0.96643961059261,0.22733812600046893
24,24.0,0.9999995460321871,0.9706997946897727,0.988322234221373,0.29275573160941704
25,25.0,0.9999999976600238,0.9826743366453695,0.9403084225125244,0.21807966798589026
26,26.0,0.9999999999899261,1.0,0.9947377010985983,0.7037470725995316
27,27.0,0.999999994165675,1.0,0.9745335100213174,0.23743628383025203
28,28.0,1.0,1.0,0.9773204076775609,0.5932901135084216
29,29.0,0.9999999999940488,1.0,0.9910254000700526,0.9549537648612946
30,30.0,0.9999999997989082,1.0,0.9576328822915087,0.3287352544598334
31,31.0,0.9999999999999987,1.0,0.9513241602350645,0.3640200727101412
32,32.0,0.9999999999981442,0.9977131614584664,0.9500954878758783,0.23129068957367774
33,33.0,0.9999999999999982,1.0,0.9518015308669111,0.15512353500158377
34,34.0,0.9999979019881972,0.9930794471512379,0.9746076291030464,0.3435866734196702
35,35.0,0.9999999999992244,0.8054849884526558,0.9407486674567865,0.5985420830283441
36,36.0,0.7686217868402407,0.9999328839040686,0.9505432754625306,0.347944502193932
37,37.0,0.9999999999999971,1.0,0.9420335830248663,0.13094648189842772
38,38.0,0.9999999999991016,0.772057044079516,0.9479504716688313,0.31978726591760304
39,39.0,1.0,0.9195846206659801,0.9631935132332644,0.17618361952747455
40,40.0,0.999999999999998,1.0,0.9409572010879707,0.13046209896091443
41,41.0,0.9999999999388516,1.0,0.9849955569135305,0.9727872987610356
42,42.0,0.9999999999999998,0.7618669920683343,0.950974095138362,0.5722150908818023
43,43.0,0.9999999983837364,0.9985661369339228,0.9541582346138853,0.1368984335375132
44,44.0,0.9999987418689072,1.0,0.9505176117154851,0.36416959440734487
45,45.0,1.0,1.0,0.9618353256521665,0.24653056107639995
46,46.0,1.0,1.0,0.9652851196594288,0.37150242816746193
47,47.0,0.9999999999170455,1.0,0.9358235550639326,0.11916459705575352
48,48.0,0.9999995616462339,0.8320139169019766,0.9658290352736675,0.3597235614701897
49,49.0,0.9999999994189142,0.9994420265595357,0.9840128790898097,0.263344211446267
50,50.0,1.0,0.9999386277157236,0.9478223950851845,0.2981949921451701
51,51.0,0.9999999999796707,0.9999266324284666,0.9559632502563475,0.45243972327970855
52,52.0,0.9999999999999987,1.0,0.9602921596882518,0.3128964351445927
53,53.0,0.999999999999829,0.995481013802275,0.9527015537765015,0.27360671446294826
54,54.0,1.0,1.0,0.9558077653003904,0.20372790321596695
55,55.0,0.9999999999998295,0.9891924711596842,0.9519791784044696,0.23201983354372152
56,56.0,0.9999999999982956,0.8114368662087014,0.9677293027170121,0.15846040480461177
57,57.0,0.9999999999885276,1.0,0.9492782316419094,0.44471327782814224
58,58.0,0.9999962001404433,0.9701804748870642,0.9633748776386865,0.07975095425818159
59,59.0,0.9999999995775117,1.0,0.9678309912604727,0.3376790343831017
60,60.0,1.0,1.0,0.9602332513247139,0.17007696859670546
61,61.0,0.99999999999861,1.0,0.9589480148477364,0.28988384843469706
62,62.0,1.0,1.0,0.9696718764946128,0.2042994405254196
63,63.0,1.0,0.999391156107574,0.9661225440300799,0.23213787905382385
64,64.0,0.9999999999999936,1.0,0.9522612475234586,0.11471045246058595
65,65.0,0.9999999990185884,0.5308773132282385,0.9563635727451838,0.13655899493381016
66,66.0,0.9999999950049934,0.9991861096039067,0.9608227486252195,0.3310301707923654
67,67.0,0.999999999998403,0.9977871041587181,0.9574520426882788,0.4391036171031123
68,68.0,0.9999999999996825,1.0,0.9483779413316643,0.4708651181906842
69,69.0,0.9999995459728314,1.0,0.9541754946197403,0.21761659911601247
70,70.0,0.9999999999982767,1.0,0.9877668750437005,0.7648765934363981
71,71.0,0.9999999558179355,0.6773241028539135,0.9784396898954443,0.26510345820144743
72,72.0,0.9999999999997677,0.9867580292584497,0.9641656407743766,0.36679340408163263
73,73.0,1.0,0.999942932146322,0.9565319821632189,0.6580178464787392
74,74.0,0.9999937582111791,0.9998115625235546,0.9646604289183507,0.8286427810492948
75,75.0,1.0,1.0,0.933913272936514,0.19688931928622938
76,76.0,0.9999964142099755,0.99626101024627,0.9465826580352518,0.6728767269756052
77,77.0,1.0,1.0,0.957990127515786,0.21484330977222502
78,78.0,0.9999999027556842,1.0,0.9518193083163954,0.06057607272279946
79,79.0,0.999999999689275,1.0,0.9735586324338699,0.31021973038710476
80,80.0,0.9999993444119225,0.9794074633202812,0.9514177021931871,0.36727993344532517
81,81.0,0.9999999999916027,0.9998826731743946,0.9500280528367959,0.6529078784640088
82,82.0,0.9999959468136799,0.9973881815213842,0.9519879347000102,0.13009250736377023
83,83.0,0.9999999999999662,0.983248060736095,0.9479606430697017,0.06839739241116446
84,84.0,0.7686217868402407,1.0,0.9522912408176226,0.48365933888150997
85,85.0,0.9999999999354467,0.9742266077415422,0.9763522543810911,0.15116268601625868
86,86.0,0.9999999999987077,1.0,0.9537141630048785,0.40689431312786645
87,87.0,0.7686217868402407,0.6699067404655394,0.9701364932160254,0.3042753129747001
88,88.0,1.0,1.0,0.963842798229111,0.29420468308029496
89,89.0,0.9999999995772817,0.8798347728126173,0.9254588198421425,0.18929427721308903
90,90.0,0.9999999999999789,1.0,0.9589425221933876,0.2668318873525843
91,91.0,1.0,1.0,0.9666209586307105,0.10558603755083441
92,92.0,0.9999999999999984,1.0,0.9548583028398755,0.5592512923063102
93,93.0,0.9999999999999227,0.999286733238231,0.9497265189616956,0.11838488266863324
94,94.0,0.9999999999999998,0.9319646335980818,0.9564683311990291,0.4483065352094344
95,95.0,0.9963495852817852,0.7722497811496936,0.9498983075678358,0.18904877926598157
